submitted_at,model_stem,local_oof_rae,local_ratio,leaderboard_rae,leaderboard_rank,note,timestamp_utc,track,user_rank,lb_score,n_submissions_visible,mae,rae,r2,spearman,kendall,submitted_utc_on_lb,lddt_pli,bisyrmsd,lddt_lp,coverage
2026-05-13 18:10:00 UTC,nb197_dense_grid,0.297639,0.58,,,,,,,,,,,,,,,,,,
2026-05-13 22:11:35 UTC,nb211_div15_chemprop_blend,0.296886,0.58,,,,,,,,,,,,,,,,,,
2026-05-14 02:13:00 UTC,nb212_nb211_blend,0.296172,0.58,,,,,,,,,,,,,,,,,,
2026-05-14 06:14:00 UTC,nb214_div15_nb212_blend,0.296169,0.58,,,,,,,,,,,,,,,,,,
2026-05-14 12:39:05 UTC,nb221_singleconc_aux,0.454523,0.7384,,,fresh-queue,,,,,,,,,,,,,,,
,,,,,,,2026-06-01 16:46:40 UTC,activity,,,0.0,,,,,,,,,,
,,,,,,,2026-06-01 16:46:40 UTC,structure,,,0.0,,,,,,,,,,
,,,,,,,2026-06-01 17:22:00 UTC,activity,,,0.0,,,,,,,,,,
,,,,,,,2026-06-01 17:22:00 UTC,structure,,,0.0,,,,,,,,,,
,,,,,,,2026-06-01 18:00:59 UTC,activity,270.0,0.58,338.0,,,,,,,,,,
,,,,,,,2026-06-01 18:00:59 UTC,structure,29.0,0.4583,48.0,,,,,,,,,,
,,,,,,,2026-06-01 18:55:53 UTC,activity,270.0,0.58,338.0,,,,,,,,,,
,,,,,,,2026-06-01 18:55:54 UTC,structure,29.0,0.4583,48.0,,,,,,,,,,
,,,,,,,2026-06-01 19:45:57 UTC,activity,270.0,0.58,338.0,,,,,,,,,,
,,,,,,,2026-06-01 19:45:57 UTC,structure,29.0,0.4583,48.0,,,,,,,,,,
,,,,,,,2026-06-01 20:45:58 UTC,activity,270.0,0.58,338.0,,,,,,,,,,
,,,,,,,2026-06-01 20:45:58 UTC,structure,29.0,0.4583,48.0,,,,,,,,,,
,,,,,,,2026-06-01 21:45:59 UTC,activity,270.0,0.58,338.0,,,,,,,,,,
,,,,,,,2026-06-01 21:46:00 UTC,structure,27.0,0.4632,48.0,,,,,,,,,,
,,,,,,,2026-06-01 22:46:00 UTC,activity,270.0,0.58,338.0,,,,,,,,,,
,,,,,,,2026-06-01 22:46:01 UTC,structure,27.0,0.4632,48.0,,,,,,,,,,
,,,,,,,2026-06-01 23:46:17 UTC,activity,270.0,0.58,338.0,,,,,,,,,,
,,,,,,,2026-06-01 23:46:17 UTC,structure,27.0,0.4632,48.0,,,,,,,,,,
,,,,,,,2026-06-02 00:45:59 UTC,activity,270.0,0.58,338.0,,,,,,,,,,
